business_name,zone,tier,score,platform,domain_suggestion,google_rating,review_count,category,google_maps_url,rationale
BB Beauty Lounge (Foothills),catalina-foothills,2,97,wix,,5,13,spa,https://maps.google.com/?q=BB%20Beauty%20Lounge%20%28Foothills%29%206450%20N%20Swan%20Rd%20STE%20100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 2 — wix site; spa in Catalina Foothills, 5★ 13 reviews — upgrade from template"
lewis + ivey salon,oro-valley,2,97,wix,,4.9,185,hair_salon,https://maps.google.com/?q=lewis%20%2B%20ivey%20salon%201880%20E%20Tangerine%20Rd%20%23160%2C%20Oro%20Valley%2C%20AZ%2085755%2C%20USA,"Tier 2 — wix site; hair salon in Oro Valley, 4.9★ 185 reviews — upgrade from template"
Cutting Edge Salon & Boutique,tanque-verde-sabino,2,97,wix,,4.9,338,hair_salon,https://maps.google.com/?q=Cutting%20Edge%20Salon%20%26%20Boutique%209155%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,"Tier 2 — wix site; hair salon in Tanque Verde, 4.9★ 338 reviews — upgrade from template"
Tavolino Ristorante Italiano,catalina-foothills,2,96,wix,,4.4,797,bar,https://maps.google.com/?q=Tavolino%20Ristorante%20Italiano%202890%20E%20Skyline%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 2 — wix site; bar in Catalina Foothills, 4.4★ 797 reviews — upgrade from template"
Foothills Dermatology,casas-adobes,2,94,wix,,4.9,421,beauty_salon,https://maps.google.com/?q=Foothills%20Dermatology%207418%20N%20La%20Cholla%20Blvd%2C%20Tucson%2C%20AZ%2085741%2C%20USA,"Tier 2 — wix site; beauty salon in Casas Adobes, 4.9★ 421 reviews — upgrade from template"
Rooted Integrative Wellness,sam-hughes-university,2,93,weebly,,5,278,physiotherapist,https://maps.google.com/?q=Rooted%20Integrative%20Wellness%201600%20N%20Tucson%20Blvd%20Suite%20100%20%26%20120%2C%20Tucson%2C%20AZ%2085716%2C%20USA,"Tier 2 — weebly site; physiotherapist in Sam Hughes/University, 5★ 278 reviews — upgrade from template"
Blue Lemon Health & Wellness,oro-valley,2,92,weebly,,5,2,spa,https://maps.google.com/?q=Blue%20Lemon%20Health%20%26%20Wellness%2010132%20N%20Oracle%20Rd%20Ste%20160%2C%20Tucson%2C%20AZ%2085704%2C%20USA,"Tier 2 — weebly site; spa in Oro Valley, 5★ 2 reviews — upgrade from template"
Harvest Restaurant,oro-valley,2,91,wix,,4.3,1093,bar,https://maps.google.com/?q=Harvest%20Restaurant%2010355%20N%20La%20Ca%C3%B1ada%20Dr%20%23141%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 2 — wix site; bar in Oro Valley, 4.3★ 1093 reviews — upgrade from template"
Fork & Fire Smokehouse + Taproom,oro-valley,2,91,wix,,4.4,839,bar,https://maps.google.com/?q=Fork%20%26%20Fire%20Smokehouse%20%2B%20Taproom%2011835%20N%20Oracle%20Rd%20%23101%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 2 — wix site; bar in Oro Valley, 4.4★ 839 reviews — upgrade from template"
The Nest,catalina-foothills,2,90,wix,,5,21,clothing_store,https://maps.google.com/?q=The%20Nest%206370%20N%20Campbell%20Ave%20%23130%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 2 — wix site; clothing store in Catalina Foothills, 5★ 21 reviews — upgrade from template"
Rapunzel's Spa,tanque-verde-sabino,2,90,wix,,4.8,73,spa,https://maps.google.com/?q=Rapunzel%27s%20Spa%207809%20E%20Wrightstown%20Rd%2C%20Tucson%2C%20AZ%2085715%2C%20USA,"Tier 2 — wix site; spa in Tanque Verde, 4.8★ 73 reviews — upgrade from template"
Oro Valley Dental Group,oro-valley,3,100,wordpress,,5,1246,dentist,https://maps.google.com/?q=Oro%20Valley%20Dental%20Group%20750%20E%20Pusch%20View%20Ln%20%23100%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 3 — wordpress; dentist in Oro Valley, 5★ 1246 reviews — redesign opportunity"
Fuchsia Spa La Encantada,catalina-foothills,3,99,wordpress,,4.8,1038,beauty_salon,https://maps.google.com/?q=Fuchsia%20Spa%20La%20Encantada%202905%20E%20Skyline%20Dr%20Suite%20123%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 3 — wordpress; beauty salon in Catalina Foothills, 4.8★ 1038 reviews — redesign opportunity"
Dentistry In Oro Valley,oro-valley,3,95,wordpress,,4.9,408,dentist,https://maps.google.com/?q=Dentistry%20In%20Oro%20Valley%2010371%20N%20Oracle%20Rd%20%23101%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 3 — wordpress; dentist in Oro Valley, 4.9★ 408 reviews — redesign opportunity"
Mountainside Dental Care,oro-valley,3,95,wordpress,,4.9,479,dentist,https://maps.google.com/?q=Mountainside%20Dental%20Care%209000%20N%20Oracle%20Rd%20bldg%20b%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,"Tier 3 — wordpress; dentist in Oro Valley, 4.9★ 479 reviews — redesign opportunity"
Oro Valley Dental Arts,oro-valley,3,95,wordpress,,5,252,dentist,https://maps.google.com/?q=Oro%20Valley%20Dental%20Arts%209000%20N%20Oracle%20Rd%20Building%20A%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,"Tier 3 — wordpress; dentist in Oro Valley, 5★ 252 reviews — redesign opportunity"
Bodycentral Physical Therapy - Oro Valley Physical Therapy Catalina & North Tucson,oro-valley,3,93,wordpress,,4.9,271,physiotherapist,https://maps.google.com/?q=Bodycentral%20Physical%20Therapy%20-%20Oro%20Valley%20Physical%20Therapy%20Catalina%20%26%20North%20Tucson%208327%20N%20Oracle%20Rd%2C%20Tucson%2C%20AZ%2085704%2C%20USA,"Tier 3 — wordpress; physiotherapist in Oro Valley, 4.9★ 271 reviews — redesign opportunity"
Sabino Hills Family Dentistry,tanque-verde-sabino,3,90,wordpress,,4.8,202,dentist,https://maps.google.com/?q=Sabino%20Hills%20Family%20Dentistry%209155%20E%20Tanque%20Verde%20Rd%20Ste%20127%2C%20Tucson%2C%20AZ%2085749%2C%20USA,"Tier 3 — wordpress; dentist in Tanque Verde, 4.8★ 202 reviews — redesign opportunity"
Vein and Aesthetics of Tucson,catalina-foothills,3,89,wordpress,,4.8,109,beauty_salon,https://maps.google.com/?q=Vein%20and%20Aesthetics%20of%20Tucson%204640%20E%20Sunrise%20Dr%20Ste%20217%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 3 — wordpress; beauty salon in Catalina Foothills, 4.8★ 109 reviews — redesign opportunity"
Havven Beauty Salon,oro-valley,3,89,squarespace,,4.9,386,beauty_salon,https://maps.google.com/?q=Havven%20Beauty%20Salon%2010110%20N%20Oracle%20Rd%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 3 — squarespace; beauty salon in Oro Valley, 4.9★ 386 reviews — redesign opportunity"
Oro Valley Aesthetics & Wellness,oro-valley,3,89,wordpress,,4.9,290,beauty_salon,https://maps.google.com/?q=Oro%20Valley%20Aesthetics%20%26%20Wellness%2010445%20N%20Oracle%20Rd%20Suite%20240%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 3 — wordpress; beauty salon in Oro Valley, 4.9★ 290 reviews — redesign opportunity"
Agility Spine and Sports Physical Therapy,tanque-verde-sabino,3,88,wordpress,,4.9,227,physiotherapist,https://maps.google.com/?q=Agility%20Spine%20and%20Sports%20Physical%20Therapy%208987%20E%20Tanque%20Verde%20Rd%20%23301%2C%20Tucson%2C%20AZ%2085749%2C%20USA,"Tier 3 — wordpress; physiotherapist in Tanque Verde, 4.9★ 227 reviews — redesign opportunity"
"Dr. Dennis Weimer, Psychiatry",catalina-foothills,3,87,wordpress,,5,4,doctor,https://maps.google.com/?q=Dr.%20Dennis%20Weimer%2C%20Psychiatry%206450%20N%20Swan%20Rd%20%23106%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 3 — wordpress; doctor in Catalina Foothills, 5★ 4 reviews — redesign opportunity"
"Head to Toe Healthcare, PLC",casas-adobes,3,85,wordpress,,4.6,245,doctor,https://maps.google.com/?q=Head%20to%20Toe%20Healthcare%2C%20PLC%207406%20N%20La%20Cholla%20Blvd%2C%20Tucson%2C%20AZ%2085741%2C%20USA,"Tier 3 — wordpress; doctor in Casas Adobes, 4.6★ 245 reviews — redesign opportunity"
Contigo Latin Kitchen,catalina-foothills,3,85,squarespace,,4.5,966,restaurant,https://maps.google.com/?q=Contigo%20Latin%20Kitchen%203770%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 3 — squarespace; restaurant in Catalina Foothills, 4.5★ 966 reviews — redesign opportunity"
RenewAll Wellness & Aesthetics,catalina-foothills,3,85,wordpress,,4.9,60,spa,https://maps.google.com/?q=RenewAll%20Wellness%20%26%20Aesthetics%204640%20E%20Sunrise%20Dr%20%23127%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 3 — wordpress; spa in Catalina Foothills, 4.9★ 60 reviews — redesign opportunity"
