business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
Bawker Bawker Cider House,"400 N 4th Ave, Tucson, AZ 85705, USA",+1 520-222-8871,bar,fourth-ave-downtown,https://maps.google.com/?q=Bawker%20Bawker%20Cider%20House%20400%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.bawkerbawker.com/,2,weebly,GoDaddy.com,0,has website,28,false,ChIJj10kcR9x1oYR-GzfDU8zV4g,4.7,203,
Che's Lounge,"350 N 4th Ave, Tucson, AZ 85705, USA",+1 520-623-2088,bar,fourth-ave-downtown,https://maps.google.com/?q=Che%27s%20Lounge%20350%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://www.facebook.com/Ches-Lounge-107259662676552/,2,custom/unknown,RegistrarSafe,0,has website,29,false,ChIJ94QpqB1x1oYRMV1_RPcm2xU,4.4,1238,
Tough Luck Club,"101 E Pennington St, Tucson, AZ 85701, USA",+1 520-882-5550,bar,fourth-ave-downtown,https://maps.google.com/?q=Tough%20Luck%20Club%20101%20E%20Pennington%20St%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://www.reillypizza.com/#tough-luck-club-section,2,squarespace,GoDaddy.com,0,has website,30,false,ChIJRX9AiiVx1oYRQgXOo6Jgquk,4.5,103,
Sky Bar Tucson,"536 N 4th Ave, Tucson, AZ 85705, USA",+1 520-622-4300,bar,fourth-ave-downtown,https://maps.google.com/?q=Sky%20Bar%20Tucson%20536%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://skybartucson.com/,2,custom/unknown,GoDaddy.com,0,has website,31,false,ChIJt2BEjxxx1oYRQejHdECMqPE,4.3,1474,
The Kava Den,"67 E Pennington St, Tucson, AZ 85701, USA",+1 520-372-2605,bar,fourth-ave-downtown,https://maps.google.com/?q=The%20Kava%20Den%2067%20E%20Pennington%20St%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://www.tucsonkavabar.com/,2,wix,Wix.com Ltd.,0,has website,32,false,ChIJyeXLuI9x1oYRL8vs6CjqszY,4.9,50,
Bison Witches,"326 N 4th Ave, Tucson, AZ 85705, USA",+1 520-740-1541,bar,fourth-ave-downtown,https://maps.google.com/?q=Bison%20Witches%20326%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.bisonwitchestucson.com/,2,,Name.com,0,has website,33,false,ChIJFaHODh1x1oYRI4FPdOJIoeE,4.6,3313,
Exo Roast Co,"403 N 6th Ave #107, Tucson, AZ 85705, USA",+1 520-777-4709,cafe,fourth-ave-downtown,https://maps.google.com/?q=Exo%20Roast%20Co%20403%20N%206th%20Ave%20%23107%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.exocoffee.com/,2,shopify,Name.com,0,has website,34,false,ChIJbRJtFxtx1oYReNx-R4j5PwI,4.6,650,
Chappopin Cafe,"640 N Stone Ave, Tucson, AZ 85705, USA",+1 520-576-0396,cafe,fourth-ave-downtown,https://maps.google.com/?q=Chappopin%20Cafe%20640%20N%20Stone%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,35,false,ChIJ0_1b5Jdx1oYRMkVBzwb-zpQ,5,80,chappopincafe.com; chappopincafetucson.com
Bodega at Union,"316 E 6th St Suite 150, Tucson, AZ 85705, USA",+1 520-999-0442,cafe,fourth-ave-downtown,https://maps.google.com/?q=Bodega%20at%20Union%20316%20E%206th%20St%20Suite%20150%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,36,false,ChIJaRJvo7Nx1oYR8Eweuqr8p5Q,5,7,bodegaatunion.com; bodegaatuniontucson.com
Harley's Coffee Co.,"316 E 6th St Suite 150, Tucson, AZ 85705, USA",+1 520-534-0443,cafe,fourth-ave-downtown,https://maps.google.com/?q=Harley%27s%20Coffee%20Co.%20316%20E%206th%20St%20Suite%20150%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://harleyscoffeeco.com/,2,shopify,Squarespace Domains II LLC,0,has website,37,false,ChIJTYWvvaJx1oYR590ldefLpLw,4.5,39,
The Jewel Cafe & Juice Bar,"431 N 4th Ave, Tucson, AZ 85705, USA",+1 520-667-3722,cafe,fourth-ave-downtown,https://maps.google.com/?q=The%20Jewel%20Cafe%20%26%20Juice%20Bar%20431%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://m.facebook.com/TheJewelCafeAndJuiceBar,2,custom/unknown,unregistered,0,has website,38,false,ChIJD9t1haZx1oYR4iZgqFKylLk,4.7,32,
Royal Hookah Lounge,"347 N 4th Ave, Tucson, AZ 85705, USA",+1 520-622-8355,cafe,fourth-ave-downtown,https://maps.google.com/?q=Royal%20Hookah%20Lounge%20347%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://www.instagram.com/rhlounge?igsh=cW1yMnlrcW85c2c%3D&utm_source=qr,2,custom/unknown,RegistrarSafe,0,has website,39,false,ChIJ3wSjqR1x1oYRMi5B1sMCFfI,4,318,
Pioneer Tucson,"100 N Stone Ave, Tucson, AZ 85701, USA",+1 888-668-1331,cafe,fourth-ave-downtown,https://maps.google.com/?q=Pioneer%20Tucson%20100%20N%20Stone%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://pioneertucson.com/,2,wordpress,GoDaddy.com,0,has website,40,false,ChIJ2_XFQxtx1oYRj0NlGLkb5Qc,5,4,
De Novo Market and Tap,"177 N Church Ave, Tucson, AZ 85701, USA",+1 520-849-6531,cafe,fourth-ave-downtown,https://maps.google.com/?q=De%20Novo%20Market%20and%20Tap%20177%20N%20Church%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://www.denovotucson.com/,2,custom/unknown,IONOS SE,0,has website,41,false,ChIJ15GLVABx1oYRWPw6hHgYcvI,4.8,33,
Ikes Coffee and Tea,"100 N Stone Ave #111, Tucson, AZ 85701, USA",+1 520-792-1800,cafe,fourth-ave-downtown,https://maps.google.com/?q=Ikes%20Coffee%20and%20Tea%20100%20N%20Stone%20Ave%20%23111%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://www.ikescoffee.com/,2,wix,GoDaddy.com,0,has website,42,false,ChIJOUV0KR5x1oYRUmLaXJdNx8s,4,146,
CERES Pasta,"77 W Washington St, Tucson, AZ 85701, USA",,cafe,fourth-ave-downtown,https://maps.google.com/?q=CERES%20Pasta%2077%20W%20Washington%20St%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://cerespasta.com/,2,weebly,GoDaddy.com,0,has website,43,false,ChIJTU-PcFVx1oYROL07PRAAqm8,4.8,229,
YBC at The Historic Courthouse,"115 N Church Ave, Tucson, AZ 85701, USA",+1 520-226-4068,cafe,fourth-ave-downtown,https://maps.google.com/?q=YBC%20at%20The%20Historic%20Courthouse%20115%20N%20Church%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://yellowbrickcoffee.com/pages/cafe-locations,2,shopify,Register.com - Network Solutions,0,has website,44,false,ChIJh5983n9x1oYRxaNnsFn2FZw,4.8,5,
Eleven Cafē,"33 N Stone Ave #150, Tucson, AZ 85701, USA",+1 520-624-8852,cafe,fourth-ave-downtown,https://maps.google.com/?q=Eleven%20Caf%C4%93%2033%20N%20Stone%20Ave%20%23150%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://www.facebook.com/elevncafe,2,custom/unknown,RegistrarSafe,0,has website,45,false,ChIJM_80K-Bw1oYRH3mX8tFaW4U,4.6,83,
1989 Bake House,"745 N 4th Ave, Tucson, AZ 85705, USA",+1 520-540-5775,cafe,fourth-ave-downtown,https://maps.google.com/?q=1989%20Bake%20House%20745%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://1989bakehouse.com/,2,squarespace,Squarespace Domains II LLC,0,has website,46,false,ChIJwaAoItud1oYRKqArdCK2QrU,4.3,103,
Berry Greens Juice Bar,"245 E Congress St Ste 159, Tucson, AZ 85701, USA",+1 520-367-5913,cafe,fourth-ave-downtown,https://maps.google.com/?q=Berry%20Greens%20Juice%20Bar%20245%20E%20Congress%20St%20Ste%20159%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://www.berrygreens.com/,2,weebly,GoDaddy.com,0,has website,47,false,ChIJwTuRgnxx1oYRBXga_aPOSmY,4,183,
HeeMee Coffee + Bakery,"20 E Congress St #110, Tucson, AZ 85701, USA",+1 520-207-1193,cafe,fourth-ave-downtown,https://maps.google.com/?q=HeeMee%20Coffee%20%2B%20Bakery%2020%20E%20Congress%20St%20%23110%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://heemee.online/,2,custom/unknown,Register.com - Network Solutions,0,has website,48,false,ChIJ57hsQIhx1oYRa4gr9BpoJdY,4.4,325,
Caffe Luce,"245 E Congress St Ste 193, Tucson, AZ 85701, USA",+1 520-623-4477,cafe,fourth-ave-downtown,https://maps.google.com/?q=Caffe%20Luce%20245%20E%20Congress%20St%20Ste%20193%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://facebook.com/Caffe-Luce-Coffee-Roasting-Co-31224924561/,2,custom/unknown,RegistrarSafe,0,has website,49,false,ChIJVZZ0PeJw1oYRqrhof6iLq8Q,4.5,490,
Chez Peachy,"501 N 6th Ave Suite 101, Tucson, AZ 85705, USA",,bakery,fourth-ave-downtown,https://maps.google.com/?q=Chez%20Peachy%20501%20N%206th%20Ave%20Suite%20101%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://chezpeachy.com/,2,custom/unknown,Wix.com Ltd.,0,has website,50,false,ChIJ41OIXQBx1oYR4jCRS0xkUEQ,4.5,457,
Batch,"118 E Congress St, Tucson, AZ 85701, USA",+1 520-203-7370,bakery,fourth-ave-downtown,https://maps.google.com/?q=Batch%20118%20E%20Congress%20St%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://batchtucson.com/,2,squarespace,Name.com,0,has website,51,false,ChIJh-Kq8uFw1oYRrziuzZNtOwU,4.5,685,
Le Macaron French Pastries Tucson,"260 E Congress St, Tucson, AZ 85701, USA",+1 520-777-7738,bakery,fourth-ave-downtown,https://maps.google.com/?q=Le%20Macaron%20French%20Pastries%20Tucson%20260%20E%20Congress%20St%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://lemacaron-us.com/,2,custom/unknown,GoDaddy.com,0,has website,52,false,ChIJKUTBnoFx1oYR-Mpt2CMWSY8,4.6,138,
Time Market,"444 E University Blvd, Tucson, AZ 85705, USA",+1 520-622-0761,bakery,fourth-ave-downtown,https://maps.google.com/?q=Time%20Market%20444%20E%20University%20Blvd%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.timemarket.xyz/,2,shopify,Network Solutions LLC,0,has website,53,false,ChIJca53Fxtx1oYRuDrQ-8pkYSU,4.7,2299,
Insomnia Cookies,"345 E Congress St #145, Tucson, AZ 85705, USA",+1 520-333-5622,bakery,fourth-ave-downtown,https://maps.google.com/?q=Insomnia%20Cookies%20345%20E%20Congress%20St%20%23145%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://insomniacookies.com/,2,custom/unknown,GoDaddy.com,0,has website,54,false,ChIJ10_ODyJyToYRj5brFBARs0g,4.1,344,
Cartel Roasting Co,"210 E Broadway Blvd Suite 3, Tucson, AZ 85701, USA",,bakery,fourth-ave-downtown,https://maps.google.com/?q=Cartel%20Roasting%20Co%20210%20E%20Broadway%20Blvd%20Suite%203%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://cartelroasting.co/,2,custom/unknown,unknown,0,has website,55,false,ChIJfeAGS-Jw1oYRHc-pxCs-Upk,4.4,837,
La Estrella Bakery,"141 S Stone Ave Suite 100, Tucson, AZ 85701, USA",+1 520-372-7026,bakery,fourth-ave-downtown,https://maps.google.com/?q=La%20Estrella%20Bakery%20141%20S%20Stone%20Ave%20Suite%20100%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://www.laestrellabakeryincaz.com/,2,custom/unknown,Tucows Domains Inc.,0,has website,56,false,ChIJhQGsfgBx1oYRupk3uNHVPfs,4.8,50,
Sweet Street Desserts (within Geronimo),"806 E University Blvd, Tucson, AZ 85719, USA",+1 520-529-7277,bakery,fourth-ave-downtown,https://maps.google.com/?q=Sweet%20Street%20Desserts%20%28within%20Geronimo%29%20806%20E%20University%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://www.doordash.com/store/sweet-street-desserts-tucson-25073119,2,custom/unknown,MarkMonitor Inc.,0,has website,57,false,ChIJOQscblxx1oYR4rUgczHQBnc,4.4,49,
Woops! Bakeshop (Main Gate Square),"845 E University Blvd, Tucson, AZ 85719, USA",+1 520-305-3224,bakery,fourth-ave-downtown,https://maps.google.com/?q=Woops%21%20Bakeshop%20%28Main%20Gate%20Square%29%20845%20E%20University%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://bywoops.com/locations/main-gate-square/,2,wix,GoDaddy.com,0,has website,58,false,ChIJNUodQgRx1oYRaKd9yyQzyp8,4.7,356,
Hidden Hearth Bakery,"267 South Avenida del Convento Building #13, Tucson, AZ 85745, USA",,bakery,fourth-ave-downtown,https://maps.google.com/?q=Hidden%20Hearth%20Bakery%20267%20South%20Avenida%20del%20Convento%20Building%20%2313%2C%20Tucson%2C%20AZ%2085745%2C%20USA,https://www.hidden-hearth.com/,2,squarespace,Squarespace Domains II LLC,0,has website,60,false,ChIJy9x7DsBx1oYRyqnKDvhBej0,5,18,
5 Points,"756 S Stone Ave, Tucson, AZ 85701, USA",+1 520-623-3888,bakery,fourth-ave-downtown,https://maps.google.com/?q=5%20Points%20756%20S%20Stone%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://www.5pointstucson.com/,2,wix,GoDaddy.com,0,has website,61,false,ChIJkXexruhw1oYRU3eE_jo21UY,4.5,1217,
La Estrella Bakery Inc,"120 South Avenida del Convento #100, Tucson, AZ 85745, USA",+1 520-393-3320,bakery,fourth-ave-downtown,https://maps.google.com/?q=La%20Estrella%20Bakery%20Inc%20120%20South%20Avenida%20del%20Convento%20%23100%2C%20Tucson%2C%20AZ%2085745%2C%20USA,http://laestrellabakeryincaz.com/,2,custom/unknown,Tucows Domains Inc.,0,has website,62,false,ChIJTf_2ymtv1oYRtfcQWmimTMY,4.7,587,
Dolce Pastello,"120 South Avenida del Convento, Tucson, AZ 85745, USA",+1 520-207-6765,bakery,fourth-ave-downtown,https://maps.google.com/?q=Dolce%20Pastello%20120%20South%20Avenida%20del%20Convento%2C%20Tucson%2C%20AZ%2085745%2C%20USA,http://dolcepastello.com/,2,wix,Squarespace Domains II LLC,0,has website,63,false,ChIJDXh8Dthw1oYRtfZ8u1M0K6E,4.5,151,
Einstein Bros. Bagels,"1303 E University Blvd, Tucson, AZ 85719, USA",+1 520-621-0452,bakery,fourth-ave-downtown,https://maps.google.com/?q=Einstein%20Bros.%20Bagels%201303%20E%20University%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://locations.einsteinbros.com/us/az/tucson/1303-e-university-blvd?y_source=1_OTA0OTQ1Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,2,wordpress,unregistered,0,has website,64,false,ChIJrXzGQAdx1oYRJbALJpzXkTI,3.6,157,
Rosebud Bakery,"844 S 6th Ave, Tucson, AZ 85701, USA",,bakery,fourth-ave-downtown,https://maps.google.com/?q=Rosebud%20Bakery%20844%20S%206th%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://www.rosebudbakeryaz.com/,2,squarespace,Squarespace Domains LLC,0,has website,65,false,ChIJcZScV4Nx1oYR4-e5PxHAJJY,4.8,101,
Brooklyn Pizza Company,"534 N 4th Ave, Tucson, AZ 85705, USA",+1 520-622-6868,meal_delivery,fourth-ave-downtown,https://maps.google.com/?q=Brooklyn%20Pizza%20Company%20534%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://brooklynpizzacompany.com/,2,custom/unknown,GoDaddy.com,0,has website,66,false,ChIJdbM5iBxx1oYRsyRZoJbcPI8,4.2,2106,
Baggin's Gourmet Sandwiches,"33 N Stone Ave Suite 108, Tucson, AZ 85701, USA",+1 520-792-1344,meal_delivery,fourth-ave-downtown,https://maps.google.com/?q=Baggin%27s%20Gourmet%20Sandwiches%2033%20N%20Stone%20Ave%20Suite%20108%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://www.bagginsgourmet.com/,2,wordpress,eNom,0,has website,67,false,ChIJM_80K-Bw1oYRcTWRdEWkurc,4,185,
